source,target,relation
andruetto,cat_didacticas,has_category
andruetto,cat_culturales,has_category
andruetto,cat_propia_obra,has_category
andruetto,cat_biograficas,has_category
ref_cedilij_y_recuperacion_de_la_literatura_en_la_escuela,cat_didacticas,belongs_to
ref_literatura_como_inclusion_simbolica_y_desplazamiento_del_lector,cat_didacticas,belongs_to
ref_mediacion_docente_en_la_circulacion_de_stefano,cat_didacticas,belongs_to
ref_literatura_y_reconstruccion_del_tejido_social,cat_didacticas,belongs_to
ref_cursos_docentes_y_mapa_federal_de_autores,cat_didacticas,belongs_to
ref_literatura_como_experiencia_de_la_palabra_frente_a_la_instrumentalizacion_escolar,cat_didacticas,belongs_to
ref_elogio_de_la_dificultad_y_expansion_de_la_potencia_lectora,cat_didacticas,belongs_to
ref_lector_emancipado_y_calidad_de_la_mediacion,cat_didacticas,belongs_to
ref_lectura_intensiva_e_interdisciplinar_a_partir_de_veladuras,cat_didacticas,belongs_to
ref_diversidad_linguistica_frente_al_castellano_neutro,cat_didacticas,belongs_to
ref_acercamiento_de_el_pais_de_juan_al_aula,cat_didacticas,belongs_to
ref_el_buen_libro_como_experiencia_que_permanece,cat_didacticas,belongs_to
ref_literatura_infantil_y_juvenil_con_fronteras_porosas,cat_didacticas,belongs_to
ref_literatura_como_resistencia_a_la_uniformizacion,cat_didacticas,belongs_to
ref_darcy_ribeiro,cat_culturales,belongs_to
ref_marguerite_duras,cat_culturales,belongs_to
ref_william_shakespeare_y_emily_dickinson,cat_culturales,belongs_to
ref_graciela_montes_el_placer_de_leer,cat_culturales,belongs_to
ref_jacques_ranciere_el_espectador_emancipado,cat_culturales,belongs_to
ref_krzysztof_kieslowski,cat_culturales,belongs_to
ref_carson_mccullers_la_balada_del_cafe_triste,cat_culturales,belongs_to
ref_pierre_bourdieu,cat_culturales,belongs_to
ref_norma_aleandro,cat_culturales,belongs_to
ref_henri_cartier_bresson,cat_culturales,belongs_to
ref_leon_tolstoi_pinta_tu_aldea_y_pintaras_el_mundo,cat_culturales,belongs_to
ref_marina_colasanti,cat_culturales,belongs_to
ref_julio_cortazar_historias_de_cronopios_y_de_famas,cat_culturales,belongs_to
ref_veladuras,cat_propia_obra,belongs_to
ref_stefano,cat_propia_obra,belongs_to
ref_una_lectora_de_provincia,cat_propia_obra,belongs_to
ref_la_lectura_otra_revolucion,cat_propia_obra,belongs_to
ref_el_vestido,cat_propia_obra,belongs_to
ref_el_pais_de_juan,cat_propia_obra,belongs_to
ref_la_nina_el_corazon_y_la_casa,cat_propia_obra,belongs_to
ref_leccion_de_piano,cat_propia_obra,belongs_to
ref_el_arte_de_narrar,cat_propia_obra,belongs_to
ref_hacia_una_literatura_sin_adjetivos,cat_propia_obra,belongs_to
ref_poetica_de_la_forma_antes_que_del_tema,cat_propia_obra,belongs_to
ref_escritura_por_preguntas_y_busqueda_de_la_voz_narrativa,cat_propia_obra,belongs_to
ref_oralidad_y_escucha_del_sonido_de_la_escritura,cat_propia_obra,belongs_to
ref_escritura_ligada_al_deseo_y_no_a_la_produccion,cat_propia_obra,belongs_to
ref_dictadura_ostracismo_y_recuperacion_democratica,cat_biograficas,belongs_to
ref_comienzo_de_la_maternidad_y_entrada_en_la_lij,cat_biograficas,belongs_to
ref_ascendencia_piamontesa,cat_biograficas,belongs_to
ref_cordoba_provincia_y_posicion_periferica,cat_biograficas,belongs_to
ref_estudios_de_letras_y_militancia_cultural_en_los_anos_setenta,cat_biograficas,belongs_to
ref_infancia_en_un_barrio_pobre_y_hogar_lector,cat_biograficas,belongs_to
ref_precariedad_insilio_y_jefatura_de_hogar,cat_biograficas,belongs_to
ref_marido_preso_politico_y_reloj_de_juventud,cat_biograficas,belongs_to
ref_docencia_como_sustento_y_libertad_para_escribir,cat_biograficas,belongs_to
