id,label,type,group,note,start_time,end_time,timecodes
andruetto,María Teresa Andruetto,interviewee,Entrevistado,Nodo central de la constelación de María Teresa Andruetto.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_cedilij_y_recuperacion_de_la_literatura_en_la_escuela,CEDILIJ y recuperación de la literatura en la escuela,reference,Didácticas,"Andruetto vincula su entrada en la LIJ con la recuperación democrática argentina y con CEDILIJ, cuyo propósito era devolver cuentos, novelas y poemas a la formación escolar tras la dictadura.",00:04:39,00:06:44,00:04:39-00:06:44
ref_literatura_como_inclusion_simbolica_y_desplazamiento_del_lector,Literatura como inclusión simbólica y desplazamiento del lector,reference,Didácticas,"Defiende que leer narrativa obliga a desplazarse hacia un punto de vista ajeno y permite vivir simbólicamente otras vidas, ampliando el conocimiento de lo humano.",00:08:15,00:11:14,00:08:15-00:11:14
ref_mediacion_docente_en_la_circulacion_de_stefano,Mediación docente en la circulación de Stefano,reference,Didácticas,"Explica que maestros y profesores recuperaron Stefano cuando la editorial lo había dado de baja: lo leyeron, lo recomendaron y construyeron un camino de lectura para una obra considerada compleja.",00:13:58,00:16:44,00:13:58-00:16:44
ref_literatura_y_reconstruccion_del_tejido_social,Literatura y reconstrucción del tejido social,reference,Didácticas,"Recuerda su trabajo en los años ochenta con mujeres escasamente alfabetizadas, llevando textos literarios que funcionaban como punto de partida para conversar sobre sus vidas y reconstruir vínculos sociales.",00:23:00,00:25:40,00:23:00-00:25:40
ref_cursos_docentes_y_mapa_federal_de_autores,Cursos docentes y mapa federal de autores,reference,Didácticas,"Durante sus cursos para docentes en distintas provincias buscaba autores locales y regionales, construyendo un mapa literario argentino alternativo a la centralización de Buenos Aires.",00:28:47,00:29:42,00:28:47-00:29:42
