source,target,relation
autor_mario_benedetti,cat_didacticas,category
autor_mario_benedetti,cat_culturales,category
autor_mario_benedetti,cat_propia_obra,category
autor_mario_benedetti,cat_biograficas,category
cat_didacticas,ref_ensenanza_escolar_de_la_historia_nacional,belongs_to
cat_didacticas,ref_jose_pedro_varela,belongs_to
cat_didacticas,ref_sarmiento,belongs_to
cat_culturales,ref_uruguay_republica_oriental_del_uruguay,belongs_to
cat_culturales,ref_argentina,belongs_to
cat_culturales,ref_brasil,belongs_to
cat_culturales,ref_paraguay,belongs_to
cat_culturales,ref_rio_uruguay,belongs_to
cat_culturales,ref_charruas,belongs_to
cat_culturales,ref_chanaes,belongs_to
cat_culturales,ref_guaranies,belongs_to
cat_culturales,ref_sebastian_gaboto,belongs_to
cat_culturales,ref_hernando_arias_de_saavedra_hernandarias,belongs_to
cat_culturales,ref_colonia_del_sacramento,belongs_to
cat_culturales,ref_provincia_oriental_banda_oriental,belongs_to
cat_culturales,ref_bruno_mauricio_de_zavala,belongs_to
cat_culturales,ref_montevideo,belongs_to
cat_culturales,ref_virreinato_del_peru,belongs_to
cat_culturales,ref_virreinato_del_rio_de_la_plata,belongs_to
cat_culturales,ref_revolucion_de_mayo,belongs_to
cat_culturales,ref_artigas,belongs_to
cat_culturales,ref_provincias_unidas_del_rio_de_la_plata,belongs_to
cat_culturales,ref_junta_de_buenos_aires,belongs_to
cat_culturales,ref_rivera,belongs_to
cat_culturales,ref_lavalleja,belongs_to
cat_culturales,ref_oribe,belongs_to
cat_culturales,ref_jose_marti,belongs_to
cat_culturales,ref_reglamento_provisorio_de_1815,belongs_to
cat_culturales,ref_marx,belongs_to
cat_culturales,ref_reforma_agraria_de_artigas,belongs_to
cat_culturales,ref_direccion_de_catastro,belongs_to
cat_culturales,ref_congreso_anfitrionico,belongs_to
cat_culturales,ref_bolivar,belongs_to
cat_culturales,ref_panamericanismo_unidad_latinoamericana,belongs_to
cat_culturales,ref_provincia_cisplatina,belongs_to
cat_culturales,ref_independencia_de_uruguay_1828,belongs_to
cat_culturales,ref_lord_ponsonby,belongs_to
cat_culturales,ref_estado_tapon,belongs_to
cat_culturales,ref_blancos_y_colorados,belongs_to
cat_culturales,ref_jose_batlle_y_ordonez,belongs_to
cat_culturales,ref_triple_alianza_guerra_contra_paraguay,belongs_to
cat_culturales,ref_coronel_latorre,belongs_to
cat_culturales,ref_alambramiento_de_los_campos,belongs_to
cat_culturales,ref_gauchos,belongs_to
cat_culturales,ref_partido_colorado,belongs_to
cat_culturales,ref_guerras_mundiales,belongs_to
cat_culturales,ref_guerra_de_corea,belongs_to
cat_culturales,ref_libertad_sindical_y_derecho_de_huelga,belongs_to
cat_culturales,ref_curuguati,belongs_to
cat_propia_obra,ref_poema_artigas,belongs_to
cat_propia_obra,ref_poema_iniciado_vuelvo_quiero_creer_que_estoy_volviendo,belongs_to
cat_biograficas,ref_alicante,belongs_to
cat_biograficas,ref_canelones_origen_paterno,belongs_to
cat_biograficas,ref_padre_de_mario_benedetti,belongs_to
cat_biograficas,ref_recuerdo_infantil_del_sepelio_de_batlle_y_ordonez,belongs_to
cat_biograficas,ref_exilio_y_regreso,belongs_to
