id,label,type,group,note,start_time,end_time,timecodes
autor_mario_benedetti,Mario Benedetti,author,Entrevistado,Entrevistado,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_ensenanza_escolar_de_la_historia_nacional,Enseñanza escolar de la historia nacional,reference,Didácticas,Benedetti cuestiona la forma en que la escuela y el discurso público han transmitido una versión inexacta o hipócrita de la historia nacional uruguaya.,00:11:56,00:12:15,00:11:56-00:12:15; 00:20:52-00:21:01
ref_jose_pedro_varela,José Pedro Varela,reference,Didácticas,"Benedetti presenta a José Pedro Varela como el gran educador uruguayo y lo compara con Sarmiento, destacando su carácter más progresista.",00:22:59,00:23:22,00:22:59-00:23:22
ref_sarmiento,Sarmiento,reference,Didácticas,Sarmiento aparece como término de comparación con Varela y como figura vinculada a una determinada concepción educativa y social.,00:23:10,00:23:34,00:23:10-00:23:34
ref_uruguay_republica_oriental_del_uruguay,Uruguay / República Oriental del Uruguay,reference,Culturales,"Uruguay constituye el eje de la exposición: Benedetti introduce su dimensión geográfica, su denominación oficial y el desarrollo singular de su historia.",00:00:35,00:02:37,00:00:35-00:02:37
ref_argentina,Argentina,reference,Culturales,Argentina aparece como país vecino de referencia geográfica y como actor en la historia regional narrada por Benedetti.,00:01:23,00:01:39,00:01:23-00:01:39; 00:08:29-00:09:04; 00:15:46-00:16:25
ref_brasil,Brasil,reference,Culturales,Brasil funciona como referencia territorial y como actor político en la historia de la Provincia Cisplatina y de la Triple Alianza.,00:01:27,00:01:39,00:01:27-00:01:39; 00:13:49-00:14:11; 00:15:46-00:16:25
ref_paraguay,Paraguay,reference,Culturales,"Paraguay aparece en relación con población guaraní, la guerra de la Triple Alianza y el destino final de Artigas.",00:04:07,00:04:33,00:04:07-00:04:33; 00:15:46-00:16:42; 00:23:34-00:23:52
ref_rio_uruguay,Río Uruguay,reference,Culturales,El río Uruguay aparece como referencia geográfica que explica la denominación oriental del país y como espacio recorrido en la exploración temprana.,00:02:16,00:02:37,00:02:16-00:02:37; 00:04:35-00:05:07
ref_charruas,Charrúas,reference,Culturales,Benedetti incluye a los charrúas entre los primeros pobladores indígenas del territorio uruguayo y caracteriza su forma de vida.,00:02:49,00:03:12,00:02:49-00:03:12; 00:03:58-00:04:33
