source,target,relation
eudave,cat_didacticas,has_category
eudave,cat_culturales,has_category
eudave,cat_propia_obra,has_category
eudave,cat_biograficas,has_category
ref_deteccion_de_la_dislexia_y_motivacion_lectora,cat_didacticas,belongs_to
ref_poesia_y_declamacion_como_apoyo_al_habla,cat_didacticas,belongs_to
ref_ensenanza_como_dialogo_y_aprendizaje_mutuo,cat_didacticas,belongs_to
ref_los_libros_como_puente_hacia_otros_libros,cat_didacticas,belongs_to
ref_lectura_individual_y_conversacion_colectiva,cat_didacticas,belongs_to
ref_de_lo_abstracto_a_lo_concreto_en_la_infancia,cat_didacticas,belongs_to
ref_imaginacion_infantil_como_espacio_seguro,cat_didacticas,belongs_to
ref_no_convertir_a_los_ninos_en_sujetos_de_rendimiento,cat_didacticas,belongs_to
ref_dibujo_como_expresion_emocional_despues_de_la_lectura,cat_didacticas,belongs_to
ref_relacion_texto_imagen_y_adecuacion_al_lector_infantil,cat_didacticas,belongs_to
ref_lectura_compartida_y_conversacion_familiar,cat_didacticas,belongs_to
ref_mundo_simbolico_infantil_y_sencillez_literaria,cat_didacticas,belongs_to
ref_papa_oso_en_el_aula_interpretacion_abierta_y_valores,cat_didacticas,belongs_to
ref_apertura_del_canon_escolar_y_mediacion_sin_desprecio,cat_didacticas,belongs_to
ref_amado_nervo_tu_antes_tu_despues,cat_culturales,belongs_to
ref_el_oso_en_el_imaginario_de_los_cuentos_infantiles,cat_culturales,belongs_to
ref_tradicion_del_cuento_maravilloso_del_siglo_xix,cat_culturales,belongs_to
ref_los_tres_cerditos,cat_culturales,belongs_to
ref_lewis_carroll_alicia_en_el_pais_de_las_maravillas,cat_culturales,belongs_to
ref_arthur_conan_doyle_profesor_challenger,cat_culturales,belongs_to
ref_sheridan_le_fanu_y_el_detective_paranormal,cat_culturales,belongs_to
ref_oscar_wilde_el_retrato_de_dorian_gray,cat_culturales,belongs_to
ref_franz_kafka_la_metamorfosis,cat_culturales,belongs_to
ref_rosalba_campra,cat_culturales,belongs_to
ref_william_blake,cat_culturales,belongs_to
ref_geronimo_stilton_y_harry_potter,cat_culturales,belongs_to
ref_papa_oso,cat_propia_obra,belongs_to
ref_los_genios_de_las_botellas,cat_propia_obra,belongs_to
ref_bobot,cat_propia_obra,belongs_to
ref_dibujar_bobot_como_traduccion_emocional,cat_propia_obra,belongs_to
ref_la_criatura_del_espejo,cat_propia_obra,belongs_to
ref_el_enigma_de_la_esfera,cat_propia_obra,belongs_to
ref_pesadillas_al_mediodia,cat_propia_obra,belongs_to
ref_doctora_julia_dench,cat_propia_obra,belongs_to
ref_aislados,cat_propia_obra,belongs_to
ref_bestiaria_vida,cat_propia_obra,belongs_to
ref_escritura_como_dialogo_exorcismo_y_cristalizacion_emocional,cat_propia_obra,belongs_to
ref_lo_fantastico_como_reconstruccion_y_confrontacion,cat_propia_obra,belongs_to
ref_poetica_miscelanea_y_aspiracion_a_la_atemporalidad,cat_propia_obra,belongs_to
ref_personajes_principales_nacidos_de_la_propia_vulnerabilidad,cat_propia_obra,belongs_to
ref_la_escritura_como_juego_contra_una_misma,cat_propia_obra,belongs_to
ref_dislexia_y_aprendizaje_tardio_de_la_lectura,cat_biograficas,belongs_to
ref_maestra_de_primer_grado_que_detecto_la_dislexia,cat_biograficas,belongs_to
ref_maria_de_jesus_profesora_de_secundaria,cat_biograficas,belongs_to
ref_padre_lector_y_mediador_de_sus_primeras_lecturas,cat_biograficas,belongs_to
ref_apoyo_de_su_madre_y_sus_profesores_en_la_declamacion,cat_biograficas,belongs_to
ref_deseo_infantil_de_ser_tenista,cat_biograficas,belongs_to
ref_estudios_de_letras_y_nacimiento_de_la_escritura,cat_biograficas,belongs_to
ref_trayectoria_docente_en_secundaria_preparatoria_y_universidad,cat_biograficas,belongs_to
ref_universidad_de_guadalajara_y_doctorado_en_montpellier,cat_biograficas,belongs_to
