source,target,relation
ferrada,cat_didacticas,has_category
ferrada,cat_culturales,has_category
ferrada,cat_propia_obra,has_category
ferrada,cat_biograficas,has_category
ref_la_poesia_para_ninos_como_parte_de_la_poesia,cat_didacticas,belongs_to
ref_lenguaje_concreto_para_lectores_infantiles,cat_didacticas,belongs_to
ref_recuperar_la_libertad_de_la_mirada_infantil,cat_didacticas,belongs_to
ref_infancia_violencia_y_construccion_de_una_postura_etica,cat_didacticas,belongs_to
ref_literatura_como_espacio_de_encuentro_con_el_otro,cat_didacticas,belongs_to
ref_literatura_que_acompana_preguntas_no_que_entrega_respuestas,cat_didacticas,belongs_to
ref_escucha_y_conversacion_horizontal_con_la_infancia,cat_didacticas,belongs_to
ref_literatura_pedagogia_y_rechazo_de_la_instrumentalizacion_rigida,cat_didacticas,belongs_to
ref_mediacion_escolar_de_mexique_ante_experiencias_migratorias,cat_didacticas,belongs_to
ref_no_simplificar_la_experiencia_porque_el_lector_sea_nino,cat_didacticas,belongs_to
ref_plan_lector_situado_en_el_momento_vital_y_el_paisaje,cat_didacticas,belongs_to
ref_lectura_inclusiva_compartida_en_braille_relieve_y_color,cat_didacticas,belongs_to
ref_dificultades_de_circulacion_escolar_de_ninos,cat_didacticas,belongs_to
ref_jorge_teillier,cat_culturales,belongs_to
ref_literatura_japonesa_y_haiku,cat_culturales,belongs_to
ref_floridor_perez,cat_culturales,belongs_to
ref_fundacion_pablo_neruda,cat_culturales,belongs_to
ref_allen_ginsberg,cat_culturales,belongs_to
ref_animismo_japones_y_pensamiento_indigena,cat_culturales,belongs_to
ref_kenzaburo_oe_y_las_victimas_de_hiroshima,cat_culturales,belongs_to
ref_monica_bergna,cat_culturales,belongs_to
ref_ana_penyas,cat_culturales,belongs_to
ref_ana_palmero_caceres,cat_culturales,belongs_to
ref_mariana_alcantara,cat_culturales,belongs_to
ref_victor_hugo_rascon_banda_los_ninos_de_morelia,cat_culturales,belongs_to
ref_william_faulkner,cat_culturales,belongs_to
ref_el_idioma_secreto,cat_propia_obra,belongs_to
ref_kramp,cat_propia_obra,belongs_to
ref_el_lenguaje_de_las_cosas,cat_propia_obra,belongs_to
ref_la_tristeza_de_las_cosas,cat_propia_obra,belongs_to
ref_ninos,cat_propia_obra,belongs_to
ref_mexique_el_nombre_del_barco,cat_propia_obra,belongs_to
ref_noticias_al_margen,cat_propia_obra,belongs_to
ref_quien_es_juan,cat_propia_obra,belongs_to
ref_el_bolso,cat_propia_obra,belongs_to
ref_animal_poemas_breves_salvajes,cat_propia_obra,belongs_to
ref_futuro,cat_propia_obra,belongs_to
ref_poetica_de_lo_concreto,cat_propia_obra,belongs_to
ref_texto_ilustracion_edicion_y_diseno_como_autoria_compartida,cat_propia_obra,belongs_to
ref_poetica_animista_de_objetos_y_naturaleza,cat_propia_obra,belongs_to
ref_memoria_como_reparacion_y_contrarrelato,cat_propia_obra,belongs_to
ref_infancia_en_el_sur_de_chile_y_paisaje_de_huertas,cat_biograficas,belongs_to
ref_tio_que_le_regalo_libros_de_literatura_japonesa,cat_biograficas,belongs_to
ref_beca_de_juventud_en_la_fundacion_pablo_neruda,cat_biograficas,belongs_to
ref_hermano_quince_anos_menor_como_primer_interlocutor_infantil,cat_biograficas,belongs_to
ref_formacion_literaria_autodidacta,cat_biograficas,belongs_to
ref_infancia_generacional_marcada_por_la_dictadura_chilena,cat_biograficas,belongs_to
ref_formacion_universitaria_como_periodista,cat_biograficas,belongs_to
ref_padre_vendedor_viajero_y_desaparicion_de_su_oficio,cat_biograficas,belongs_to
ref_tio_materno_con_sindrome_de_down,cat_biograficas,belongs_to
