id,label,type,group,note,start_time,end_time,timecodes
ferrada,María José Ferrada,interviewee,Entrevistado,Nodo central de la constelación de María José Ferrada.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_la_poesia_para_ninos_como_parte_de_la_poesia,La poesía para niños como parte de la poesía,reference,Didácticas,"Recuerda la enseñanza de Floridor Pérez de que no existe una poesía separada «para niños», sino poesía que también puede gustar y hablar a los niños.",00:06:40,00:07:56,00:06:40-00:07:56
ref_lenguaje_concreto_para_lectores_infantiles,Lenguaje concreto para lectores infantiles,reference,Didácticas,Relaciona la escritura para niños pequeños con el uso de palabras concretas y con una sensibilidad todavía muy ligada a lo visible y lo inmediato.,00:08:42,00:10:06,00:08:42-00:10:06
ref_recuperar_la_libertad_de_la_mirada_infantil,Recuperar la libertad de la mirada infantil,reference,Didácticas,"Describe el desafío de escribir para la infancia como un regreso a una forma de mirar más libre, menos adherida a las categorías culturales adultas.",00:10:06,00:11:26,00:10:06-00:11:26
ref_infancia_violencia_y_construccion_de_una_postura_etica,"Infancia, violencia y construcción de una postura ética",reference,Didácticas,Considera que la infancia es un momento especialmente permeable al sufrimiento ajeno y que puede favorecer una reflexión temprana sobre las decisiones cotidianas entre violencia y paz.,00:32:37,00:33:51,00:32:37-00:33:51
ref_literatura_como_espacio_de_encuentro_con_el_otro,Literatura como espacio de encuentro con el otro,reference,Didácticas,"Concibe la literatura como un espacio donde el lector puede encontrarse con otra experiencia humana y, desde ahí, reconocer también aspectos de sí mismo.",00:38:16,00:39:24,00:38:16-00:39:24
ref_literatura_que_acompana_preguntas_no_que_entrega_respuestas,"Literatura que acompaña preguntas, no que entrega respuestas",reference,Didácticas,Prefiere los libros que acompañan las preguntas del lector frente a una literatura que impone respuestas o mensajes cerrados.,00:39:24,00:39:54,00:39:24-00:39:54
ref_escucha_y_conversacion_horizontal_con_la_infancia,Escucha y conversación horizontal con la infancia,reference,Didácticas,"Defiende que escribir para niños exige interés genuino por ellos, escucha y conversación horizontal, no una relación en la que el adulto explica unilateralmente cómo es la vida.",00:41:24,00:43:47,00:41:24-00:43:47
