source,target,relation
frankel,cat_didacticas,has_category
frankel,cat_culturales,has_category
frankel,cat_propia_obra,has_category
frankel,cat_biograficas,has_category
ref_diferencia_entre_ser_ilustrador_y_saber_ensenar_ilustracion,cat_didacticas,belongs_to
ref_acompanamiento_editorial_como_proceso_formativo,cat_didacticas,belongs_to
ref_diferencia_entre_libro_ilustrado_y_album_ilustrado,cat_didacticas,belongs_to
ref_diferencia_entre_dibujar_e_ilustrar,cat_didacticas,belongs_to
ref_la_ilustracion_como_narracion,cat_didacticas,belongs_to
ref_distancia_entre_texto_e_imagen_como_riqueza_del_album,cat_didacticas,belongs_to
ref_adaptacion_del_lenguaje_verbal_al_lector_infantil,cat_didacticas,belongs_to
ref_autonomia_de_la_lectura_visual,cat_didacticas,belongs_to
ref_no_predeterminar_el_libro_por_edades,cat_didacticas,belongs_to
ref_critica_a_los_libros_para_y_a_la_instrumentalizacion_de_la_lij,cat_didacticas,belongs_to
ref_repeticion_anticipacion_y_lectura_en_primera_infancia,cat_didacticas,belongs_to
ref_la_palabra_como_anclaje_de_la_imagen,cat_didacticas,belongs_to
ref_album_ilustrado_como_lectura_para_ninos_y_adultos,cat_didacticas,belongs_to
ref_todos_los_elementos_materiales_del_album_cuentan,cat_didacticas,belongs_to
ref_isol,cat_culturales,belongs_to
ref_astrid_lindgren_memorial_award,cat_culturales,belongs_to
ref_ilustratour,cat_culturales,belongs_to
ref_feria_del_libro_infantil_de_bolonia,cat_culturales,belongs_to
ref_valentina_mai_y_kite_edizioni,cat_culturales,belongs_to
ref_the_white_ravens,cat_culturales,belongs_to
ref_fundacion_cuatrogatos,cat_culturales,belongs_to
ref_editorial_limonero,cat_culturales,belongs_to
ref_hermanos_marx_escena_del_camarote,cat_culturales,belongs_to
ref_kevin_johansen_la_gente_mas_linda,cat_culturales,belongs_to
ref_leon_gieco,cat_culturales,belongs_to
ref_editorial_monimo,cat_culturales,belongs_to
ref_nada_de_nada,cat_propia_obra,belongs_to
ref_a_simple_vista,cat_propia_obra,belongs_to
ref_un_hueco,cat_propia_obra,belongs_to
ref_excursion,cat_propia_obra,belongs_to
ref_el_ascensor,cat_propia_obra,belongs_to
ref_que_tiene_un_bosque,cat_propia_obra,belongs_to
ref_que_tiene_una_montana,cat_propia_obra,belongs_to
ref_todo_lo_que_paso_antes_de_que_llegaras,cat_propia_obra,belongs_to
ref_no_se_si_lo_ves,cat_propia_obra,belongs_to
ref_proyecto_de_libro_cancion_con_leon_gieco,cat_propia_obra,belongs_to
ref_proyecto_de_libreta_intervenida_para_ilustradores,cat_propia_obra,belongs_to
ref_de_lo_autorreferencial_a_una_historia_universal,cat_propia_obra,belongs_to
ref_sillas_y_escaleras_como_motivos_visuales_recurrentes,cat_propia_obra,belongs_to
ref_el_cuento_dentro_de_el_ascensor,cat_propia_obra,belongs_to
ref_guardas_y_linea_de_tiempo_en_todo_lo_que_paso_antes_de_que_llegaras,cat_propia_obra,belongs_to
ref_buenos_aires_y_formacion_en_diseno_grafico,cat_biograficas,belongs_to
ref_autoformacion_como_ilustradora,cat_biograficas,belongs_to
ref_primer_viaje_sola_a_espana_y_experiencia_en_valladolid,cat_biograficas,belongs_to
ref_trabajo_solitario_en_su_estudio,cat_biograficas,belongs_to
ref_sus_hijos_como_contexto_de_descubrimiento_del_album_ilustrado,cat_biograficas,belongs_to
ref_experiencia_de_maternidad_en_excursion,cat_biograficas,belongs_to
ref_timidez_y_distancia_respecto_de_la_recepcion_publica,cat_biograficas,belongs_to
ref_lectura_habitual_y_visitas_constantes_a_librerias,cat_biograficas,belongs_to
ref_aversion_personal_a_los_ascensores,cat_biograficas,belongs_to
