source,target,relation
glantz,cat_didacticas,has_category
glantz,cat_culturales,has_category
glantz,cat_propia_obra,has_category
glantz,cat_biograficas,has_category
ref_docencia_y_creacion_como_vasos_comunicantes,cat_didacticas,belongs_to
ref_lectura_cercana_y_desmontaje_del_texto,cat_didacticas,belongs_to
ref_dialogo_con_estudiantes_como_motor_de_investigacion_y_creacion,cat_didacticas,belongs_to
ref_contextualizar_a_sor_juana_mediante_la_tradicion_monacal,cat_didacticas,belongs_to
ref_aprendizaje_reciproco_entre_profesora_y_alumnado,cat_didacticas,belongs_to
ref_dialogo_socratico_en_clase,cat_didacticas,belongs_to
ref_renovacion_de_cursos_y_contenidos,cat_didacticas,belongs_to
ref_interdisciplinariedad_entre_literatura_y_artes,cat_didacticas,belongs_to
ref_vida_cotidiana_y_cultura_material_como_materia_de_analisis,cat_didacticas,belongs_to
ref_literatura_mexicana_del_siglo_xix_para_comprender_la_historia,cat_didacticas,belongs_to
ref_lectura_creativa_de_las_cronicas_de_la_conquista,cat_didacticas,belongs_to
ref_ensenanza_digital_y_transformacion_de_la_presencia,cat_didacticas,belongs_to
ref_diferencias_entre_alumnado_de_grado_y_posgrado,cat_didacticas,belongs_to
ref_diversidad_cultural_y_pensamiento_colectivo_en_el_seminario,cat_didacticas,belongs_to
ref_trabajos_del_alumnado_que_revisan_la_lectura_de_sor_juana,cat_didacticas,belongs_to
ref_preparacion_rigurosa_y_relectura_antes_de_clase,cat_didacticas,belongs_to
ref_improvisacion_sustentada_en_rigor_previo,cat_didacticas,belongs_to
ref_atencion_al_detalle_y_a_la_palabra,cat_didacticas,belongs_to
ref_sor_juana_ines_de_la_cruz,cat_culturales,belongs_to
ref_franz_kafka,cat_culturales,belongs_to
ref_jorge_luis_borges,cat_culturales,belongs_to
ref_jules_verne,cat_culturales,belongs_to
ref_emilio_salgari,cat_culturales,belongs_to
ref_herman_melville_moby_dick,cat_culturales,belongs_to
ref_georges_bataille_historia_del_ojo,cat_culturales,belongs_to
ref_marques_de_sade,cat_culturales,belongs_to
ref_santa_teresa_de_jesus,cat_culturales,belongs_to
ref_gian_lorenzo_bernini_extasis_de_santa_teresa,cat_culturales,belongs_to
ref_san_juan_de_la_cruz,cat_culturales,belongs_to
ref_marcel_proust,cat_culturales,belongs_to
ref_bernal_diaz_del_castillo,cat_culturales,belongs_to
ref_hernan_cortes,cat_culturales,belongs_to
ref_alvar_nunez_cabeza_de_vaca,cat_culturales,belongs_to
ref_las_genealogias,cat_propia_obra,belongs_to
ref_el_rastro,cat_propia_obra,belongs_to
ref_doscientas_ballenas_azules,cat_propia_obra,belongs_to
ref_apariciones,cat_propia_obra,belongs_to
ref_sindrome_de_naufragios,cat_propia_obra,belongs_to
ref_la_lengua_en_la_mano,cat_propia_obra,belongs_to
ref_ensayos_sobre_sor_juana,cat_propia_obra,belongs_to
ref_digestion_literaria_y_obsesiones_como_poetica,cat_propia_obra,belongs_to
ref_redes_sociales_como_materia_de_creacion,cat_propia_obra,belongs_to
ref_universidad_de_alicante_y_doctorado_honoris_causa,cat_biograficas,belongs_to
ref_mas_de_sesenta_anos_de_docencia_en_la_unam,cat_biograficas,belongs_to
ref_vocacion_simultanea_de_escritora_y_profesora,cat_biograficas,belongs_to
ref_encuentro_con_las_ballenas_en_california_y_baja_california,cat_biograficas,belongs_to
ref_francisco_de_la_maza,cat_biograficas,belongs_to
ref_juan_de_la_encina,cat_biograficas,belongs_to
ref_trayectoria_docente_internacional,cat_biograficas,belongs_to
ref_docencia_y_critica_teatral,cat_biograficas,belongs_to
