id,label,type,group,note,start_time,end_time,timecodes
glantz,Margo Glantz,interviewee,Entrevistado,Nodo central de la constelación de Margo Glantz.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_docencia_y_creacion_como_vasos_comunicantes,Docencia y creación como vasos comunicantes,reference,Didácticas,"Glantz concibe la docencia, la lectura, el ensayo y la creación literaria como prácticas comunicadas que se alimentan mutuamente.",00:04:38,00:08:07,00:04:38-00:08:07
ref_lectura_cercana_y_desmontaje_del_texto,Lectura cercana y desmontaje del texto,reference,Didácticas,Relaciona el análisis minucioso de cómo están construidos los textos con el aprendizaje de la propia escritura.,00:08:33,00:09:33,00:08:33-00:09:33
ref_dialogo_con_estudiantes_como_motor_de_investigacion_y_creacion,Diálogo con estudiantes como motor de investigación y creación,reference,Didácticas,Explica que las preguntas y conversaciones con sus estudiantes pueden originar nuevas líneas de investigación y activar materiales narrativos.,00:08:07,00:09:33,00:08:07-00:09:33; 00:15:17-00:15:55
ref_contextualizar_a_sor_juana_mediante_la_tradicion_monacal,Contextualizar a Sor Juana mediante la tradición monacal,reference,Didácticas,"Para enseñar a Sor Juana considera necesario estudiar también otras monjas y la tradición monástica, ampliando el contexto para comprender mejor cuerpo, mística y escritura.",00:15:55,00:21:09,00:15:55-00:21:09
ref_aprendizaje_reciproco_entre_profesora_y_alumnado,Aprendizaje recíproco entre profesora y alumnado,reference,Didácticas,"Describe la enseñanza como un intercambio: ella transmite experiencia y cultura, mientras las nuevas generaciones le plantean preguntas y perspectivas que renuevan su mirada.",00:23:14,00:25:59,00:23:14-00:25:59
ref_dialogo_socratico_en_clase,Diálogo socrático en clase,reference,Didácticas,"Define su práctica docente como intensamente dialogada y parcialmente socrática, basada en preguntas, conversación y análisis textual.",00:23:14,00:24:59,00:23:14-00:24:59
ref_renovacion_de_cursos_y_contenidos,Renovación de cursos y contenidos,reference,Didácticas,Afirma que evita repetir cada año el mismo curso y prefiere diseñar contenidos nuevos para mantener activa su investigación y su docencia.,00:23:53,00:24:59,00:23:53-00:24:59
ref_interdisciplinariedad_entre_literatura_y_artes,Interdisciplinariedad entre literatura y artes,reference,Didácticas,"Integra pintura, música, escultura y arquitectura tanto en sus clases como en su análisis literario y su escritura.",00:26:24,00:28:41,00:26:24-00:28:41
ref_vida_cotidiana_y_cultura_material_como_materia_de_analisis,Vida cotidiana y cultura material como materia de análisis,reference,Didácticas,"Incorpora moda, zapatos, vestidos, viajes y vida diaria a sus clases y a su creación, ampliando el campo de lo literario hacia la cultura cotidiana.",00:27:43,00:28:41,00:27:43-00:28:41
ref_literatura_mexicana_del_siglo_xix_para_comprender_la_historia,Literatura mexicana del siglo XIX para comprender la historia,reference,Didácticas,Explica que trabajar novelas mexicanas decimonónicas y folletines permite comprender aspectos de la historia de México que a veces resultan más visibles en la literatura que en la historiografía.,00:28:57,00:29:57,00:28:57-00:29:57
ref_lectura_creativa_de_las_cronicas_de_la_conquista,Lectura creativa de las Crónicas de la Conquista,reference,Didácticas,Señala que analizó creativamente las crónicas de la Conquista y que esas lecturas docentes acabaron convergiendo con su propia escritura.,00:29:57,00:31:01,00:29:57-00:31:01
ref_ensenanza_digital_y_transformacion_de_la_presencia,Enseñanza digital y transformación de la presencia,reference,Didácticas,"Reflexiona sobre Zoom y el ordenador como nuevas formas de impartir clases y conferencias que modifican la experiencia de presencia, cuerpo y cercanía.",00:31:01,00:33:23,00:31:01-00:33:23
