source,target,relation
iwasaki,cat_didacticas,has_category
iwasaki,cat_culturales,has_category
iwasaki,cat_propia_obra,has_category
iwasaki,cat_biograficas,has_category
ref_identidad_como_suma_y_expansion,cat_didacticas,belongs_to
ref_variacion_lexica_del_espanol,cat_didacticas,belongs_to
ref_contexto_tono_e_interpretacion,cat_didacticas,belongs_to
ref_dimension_afectiva_de_la_comunicacion,cat_didacticas,belongs_to
ref_historias_de_cronopios_y_de_famas_como_puerta_de_entrada_a_cortazar,cat_didacticas,belongs_to
ref_comprension_inferencial_de_palabras_inventadas,cat_didacticas,belongs_to
ref_reconocimiento_de_registros_y_respuesta_emocional,cat_didacticas,belongs_to
ref_intertextualidad_entre_literatura_y_cultura_popular,cat_didacticas,belongs_to
ref_lectura_como_experiencia_accesible_y_placentera,cat_didacticas,belongs_to
ref_relectura_y_cambio_de_interpretacion_a_lo_largo_de_la_vida,cat_didacticas,belongs_to
ref_julio_cortazar_rayuela,cat_culturales,belongs_to
ref_jorge_luis_borges_la_moneda_de_hierro,cat_culturales,belongs_to
ref_oscar_wilde_el_gigante_egoista,cat_culturales,belongs_to
ref_jules_verne,cat_culturales,belongs_to
ref_stan_lee_y_el_universo_marvel,cat_culturales,belongs_to
ref_mitologia_griega_aquiles_perseo_y_hermes,cat_culturales,belongs_to
ref_robert_louis_stevenson_dr_jekyll_y_mr_hyde,cat_culturales,belongs_to
ref_excalibur_y_el_ciclo_arturico,cat_culturales,belongs_to
ref_daniel_defoe_robinson_crusoe,cat_culturales,belongs_to
ref_george_orwell_1984,cat_culturales,belongs_to
ref_gustavo_adolfo_becquer_leyendas,cat_culturales,belongs_to
ref_edgar_allan_poe,cat_culturales,belongs_to
ref_michel_de_montaigne_ensayos,cat_culturales,belongs_to
ref_gabriel_garcia_marquez_cien_anos_de_soledad,cat_culturales,belongs_to
ref_stendhal_la_cartuja_de_parma,cat_culturales,belongs_to
ref_roberto_bolano,cat_culturales,belongs_to
ref_guy_debord_la_sociedad_del_espectaculo,cat_culturales,belongs_to
ref_martin_scorsese_silencio,cat_culturales,belongs_to
ref_libro_de_mal_amor,cat_propia_obra,belongs_to
ref_espana_aparta_de_mi_estos_premios,cat_propia_obra,belongs_to
ref_helarte_de_amar,cat_propia_obra,belongs_to
ref_el_sentimiento_tragico_de_la_liga,cat_propia_obra,belongs_to
ref_la_caja_de_pan_duro,cat_propia_obra,belongs_to
ref_minimo_comun_literario,cat_propia_obra,belongs_to
ref_las_palabras_primas,cat_propia_obra,belongs_to
ref_ajuar_funerario,cat_propia_obra,belongs_to
ref_troyanos_en_la_red,cat_propia_obra,belongs_to
ref_mi_poncho_es_un_kimono_flamenco,cat_propia_obra,belongs_to
ref_proyecto_de_microrrelatos_de_robots,cat_propia_obra,belongs_to
ref_poetica_del_terror_fantastico,cat_propia_obra,belongs_to
ref_origen_peruano_y_ascendencia_japonesa,cat_biograficas,belongs_to
ref_residencia_en_espana_y_sevilla,cat_biograficas,belongs_to
ref_familia_multinacional,cat_biograficas,belongs_to
ref_llegada_a_sevilla_en_1985_como_becario,cat_biograficas,belongs_to
ref_experiencia_en_el_archivo_de_indias,cat_biograficas,belongs_to
ref_infancia_en_un_entorno_familiar_multicultural,cat_biograficas,belongs_to
ref_primeras_lecturas_literatura_infantil_y_comics,cat_biograficas,belongs_to
ref_trayectoria_docente_y_periodistica,cat_biograficas,belongs_to
ref_amistad_con_andres_neuman_y_publicacion_de_ajuar_funerario,cat_biograficas,belongs_to
ref_arboles_plantados_para_sus_hijos_y_su_nieto,cat_biograficas,belongs_to
