source,target,relation
murillo,cat_didacticas,has_category
murillo,cat_culturales,has_category
murillo,cat_propia_obra,has_category
murillo,cat_biograficas,has_category
ref_narrativa_personal_como_construccion_de_sentido,cat_didacticas,belongs_to
ref_identidad_narrativa,cat_didacticas,belongs_to
ref_ejercicio_del_animal_totem,cat_didacticas,belongs_to
ref_convertir_el_yo_en_personaje,cat_didacticas,belongs_to
ref_autoficcion_con_adolescentes,cat_didacticas,belongs_to
ref_identificacion_como_motor_de_las_historias,cat_didacticas,belongs_to
ref_personaje_frente_a_la_fatalidad,cat_didacticas,belongs_to
ref_diferencia_entre_solucion_y_resolucion_narrativa,cat_didacticas,belongs_to
ref_taller_de_narrativa_con_animales_para_ninos,cat_didacticas,belongs_to
ref_construccion_de_personaje_a_partir_de_rasgos_animales,cat_didacticas,belongs_to
ref_superpoderes_como_recurso_de_caracterizacion,cat_didacticas,belongs_to
ref_ampliacion_del_repertorio_de_cualidades_mediante_varios_animales,cat_didacticas,belongs_to
ref_hibridacion_de_animales_y_juego_verbal,cat_didacticas,belongs_to
ref_mision_y_problema_del_personaje,cat_didacticas,belongs_to
ref_dibujo_como_apoyo_a_la_escritura,cat_didacticas,belongs_to
ref_puntos_debiles_del_personaje,cat_didacticas,belongs_to
ref_responder_preguntas_con_otras_preguntas,cat_didacticas,belongs_to
ref_libertad_creativa_y_escritura_voluntaria,cat_didacticas,belongs_to
ref_narrativa_personal_terapeutica_no_terapia,cat_didacticas,belongs_to
ref_distanciamiento_y_humor,cat_didacticas,belongs_to
ref_resignificacion_de_la_historia_personal,cat_didacticas,belongs_to
ref_acercamiento_tangencial_al_yo,cat_didacticas,belongs_to
ref_ejercicio_el_loco_que_yo_seria,cat_didacticas,belongs_to
ref_escritura_de_si_en_tercera_persona,cat_didacticas,belongs_to
ref_de_la_lagrima_a_la_carcajada,cat_didacticas,belongs_to
ref_escribir_para_estructurar_el_pensamiento,cat_didacticas,belongs_to
ref_alfabetizacion_literaria_mediante_produccion_y_observacion_de_historias,cat_didacticas,belongs_to
ref_sigmund_freud,cat_culturales,belongs_to
ref_annie_ernaux,cat_culturales,belongs_to
ref_robinson_crusoe,cat_culturales,belongs_to
ref_mujer_maravilla,cat_culturales,belongs_to
ref_aristoteles_poetica,cat_culturales,belongs_to
ref_shakira,cat_culturales,belongs_to
ref_alonso_quijano_don_quijote,cat_culturales,belongs_to
ref_sancho_panza,cat_culturales,belongs_to
ref_psique_como_concepto_de_alma,cat_culturales,belongs_to
ref_tiembla_memoria,cat_propia_obra,belongs_to
ref_catabotellas,cat_propia_obra,belongs_to
ref_autoficcion_y_desdoblamiento_del_yo_en_tiembla_memoria,cat_propia_obra,belongs_to
ref_alternancia_entre_primera_y_tercera_persona_en_tiembla_memoria,cat_propia_obra,belongs_to
ref_para_pasar_pagina_primero_habra_que_escribirla,cat_propia_obra,belongs_to
ref_escritura_como_recreacion_y_construccion_no_confesion,cat_propia_obra,belongs_to
ref_costa_rica,cat_biograficas,belongs_to
ref_experiencia_impartiendo_talleres_de_narrativa_infantil,cat_biograficas,belongs_to
ref_taller_con_ninos_y_asociacion_entre_animales_y_violencia,cat_biograficas,belongs_to
ref_nino_de_doce_anos_que_distingue_entre_animal_favorito_e_identificacion,cat_biograficas,belongs_to
ref_su_propio_test_de_animales_pantera_aguila_y_cucaracha,cat_biograficas,belongs_to
ref_penas_de_amor_de_juventud,cat_biograficas,belongs_to
ref_experiencia_profesional_vinculada_al_guion,cat_biograficas,belongs_to
ref_actualizacion_de_referentes_audiovisuales_para_sus_talleres,cat_biograficas,belongs_to
