source,target,relation
neuman,cat_didacticas,has_category
neuman,cat_culturales,has_category
neuman,cat_propia_obra,has_category
neuman,cat_biograficas,has_category
ref_relacion_entre_creacion_y_filologia,cat_didacticas,belongs_to
ref_indicativo_y_subjuntivo_para_narrar_la_experiencia,cat_didacticas,belongs_to
ref_gramatica_y_emocion,cat_didacticas,belongs_to
ref_relacion_entre_genero_gramatical_y_genero_literario,cat_didacticas,belongs_to
ref_generos_literarios_como_distinciones_pedagogicas,cat_didacticas,belongs_to
ref_entrenamiento_literario_y_formacion_de_la_mirada,cat_didacticas,belongs_to
ref_les_luthiers,cat_culturales,belongs_to
ref_albert_cohen_el_libro_de_mi_madre,cat_culturales,belongs_to
ref_roberto_juarroz,cat_culturales,belongs_to
ref_paul_auster_el_palacio_de_la_luna,cat_culturales,belongs_to
ref_jorge_luis_borges,cat_culturales,belongs_to
ref_ricardo_piglia,cat_culturales,belongs_to
ref_maria_moreno,cat_culturales,belongs_to
ref_paul_groussac,cat_culturales,belongs_to
ref_witold_gombrowicz,cat_culturales,belongs_to
ref_edgar_allan_poe_la_carta_robada,cat_culturales,belongs_to
ref_ruben_dario,cat_culturales,belongs_to
ref_siri_hustvedt,cat_culturales,belongs_to
ref_julio_cortazar_axolotl,cat_culturales,belongs_to
ref_franz_kafka,cat_culturales,belongs_to
ref_atticus_finch_matar_a_un_ruisenor,cat_culturales,belongs_to
ref_ernest_hemingway_relato_de_los_zapatos_de_bebe,cat_culturales,belongs_to
ref_una_vez_argentina,cat_propia_obra,belongs_to
ref_el_viajero_del_siglo,cat_propia_obra,belongs_to
ref_umbilical,cat_propia_obra,belongs_to
ref_el_jardinero,cat_propia_obra,belongs_to
ref_el_tobogan,cat_propia_obra,belongs_to
ref_alumbramiento,cat_propia_obra,belongs_to
ref_familia_y_relaciones_familiares_como_tema_recurrente,cat_propia_obra,belongs_to
ref_memoria_prenatal_y_ancestral,cat_propia_obra,belongs_to
ref_narracion_del_propio_nacimiento,cat_propia_obra,belongs_to
ref_puente_entre_autobiografia_y_ficcion,cat_propia_obra,belongs_to
ref_verdad_emocional_y_simbolica,cat_propia_obra,belongs_to
ref_escritura_fronteriza_e_hibridacion_generica,cat_propia_obra,belongs_to
ref_artesania_de_la_escritura_y_construccion_de_personajes,cat_propia_obra,belongs_to
ref_el_abuelo_y_el_sauce_como_motivo_transgenerico,cat_propia_obra,belongs_to
ref_parto_y_nacimiento_como_obsesion_recurrente,cat_propia_obra,belongs_to
ref_reescritura_como_forma_de_escritura,cat_propia_obra,belongs_to
ref_alicante_y_la_universidad_de_alicante,cat_biograficas,belongs_to
ref_muerte_temprana_de_su_madre,cat_biograficas,belongs_to
ref_relatos_inventados_a_su_madre_durante_la_infancia,cat_biograficas,belongs_to
ref_necesidad_vital_de_leer_y_escribir,cat_biograficas,belongs_to
ref_relacion_de_cercania_y_extranjeria_con_argentina,cat_biograficas,belongs_to
ref_exilio_familiar_durante_la_infancia,cat_biograficas,belongs_to
ref_infancia_en_espana_dentro_de_una_familia_argentina,cat_biograficas,belongs_to
ref_primeras_lecturas_argentinas,cat_biograficas,belongs_to
ref_recuerdos_divergentes_con_su_padre_y_su_hermano,cat_biograficas,belongs_to
ref_ocho_bisabuelos_extranjeros_y_multilingues,cat_biograficas,belongs_to
ref_abuelo_mario,cat_biograficas,belongs_to
ref_nacimiento_de_su_hijo_y_paternidad_reciente,cat_biograficas,belongs_to
