source,target,relation
shua,cat_didacticas,has_category
shua,cat_culturales,has_category
shua,cat_propia_obra,has_category
shua,cat_biograficas,has_category
ref_entrada_de_la_literatura_infantil_en_la_escuela_en_los_anos_ochenta,cat_didacticas,belongs_to
ref_diferencias_entre_prelectores_y_lectores_de_doce_anos,cat_didacticas,belongs_to
ref_respeto_por_el_lector_infantil,cat_didacticas,belongs_to
ref_literatura_que_plantea_preguntas_y_no_respuestas,cat_didacticas,belongs_to
ref_conflicto_frente_a_literatura_infantil_deslavada,cat_didacticas,belongs_to
ref_mercado_escolar_y_estereotipos_de_genero_en_la_seleccion_editorial,cat_didacticas,belongs_to
ref_lectura_sin_confrontacion_con_internet_television_series_y_videojuegos,cat_didacticas,belongs_to
ref_pasion_lectora_curiosidad_y_deseo_de_lo_prohibido,cat_didacticas,belongs_to
ref_adolescentes_como_lectores_capaces_de_literatura_adulta,cat_didacticas,belongs_to
ref_el_docente_comparte_las_lecturas_que_realmente_lo_conmueven,cat_didacticas,belongs_to
ref_el_problema_de_la_lectura_tambien_esta_en_los_profesores,cat_didacticas,belongs_to
ref_conversaciones_escolares_sobre_el_origen_de_las_ideas,cat_didacticas,belongs_to
ref_todos_los_libros_salen_de_libros_lectura_como_formacion_de_la_escritura,cat_didacticas,belongs_to
ref_consejo_al_escritor_que_comienza_paciencia_y_sustento_profesional,cat_didacticas,belongs_to
ref_cuento_popular_y_tradicion_folclorica_universal,cat_culturales,belongs_to
ref_lady_ragnell_y_el_ciclo_arturico,cat_culturales,belongs_to
ref_geoffrey_chaucer_la_mujer_de_bath,cat_culturales,belongs_to
ref_black_beauty_belleza_negra,cat_culturales,belongs_to
ref_revista_del_pato_donald,cat_culturales,belongs_to
ref_coleccion_robin_hood,cat_culturales,belongs_to
ref_louisa_may_alcott,cat_culturales,belongs_to
ref_bomba_el_nino_de_la_selva,cat_culturales,belongs_to
ref_principe_valiente,cat_culturales,belongs_to
ref_rodolfo_walsh_antologia_del_cuento_extrano,cat_culturales,belongs_to
ref_pearl_s_buck_la_buena_tierra,cat_culturales,belongs_to
ref_mitologia_griega,cat_culturales,belongs_to
ref_hesiodo_teogonia,cat_culturales,belongs_to
ref_la_batalla_entre_los_elefantes_y_los_cocodrilos,cat_propia_obra,belongs_to
ref_el_arbol_de_la_mujer_dragon_y_otros_cuentos,cat_propia_obra,belongs_to
ref_cabras_mujeres_y_mulas,cat_propia_obra,belongs_to
ref_reescritura_documentada_de_cuentos_tradicionales,cat_propia_obra,belongs_to
ref_la_suenera,cat_propia_obra,belongs_to
ref_ritmo_de_escritura_segun_el_genero,cat_propia_obra,belongs_to
ref_la_novela_como_primer_borrador_magma,cat_propia_obra,belongs_to
ref_reescritura_y_lectores_de_confianza,cat_propia_obra,belongs_to
ref_microrrelato_como_laboratorio_de_reescritura,cat_propia_obra,belongs_to
ref_digestion_de_emociones_antes_de_convertirlas_en_literatura,cat_propia_obra,belongs_to
ref_realidad_combinacion_y_transformacion_como_fuente_de_ficcion,cat_propia_obra,belongs_to
ref_literatura_popular_como_alimento_del_microrrelato,cat_propia_obra,belongs_to
ref_su_primera_zanahoria_y_los_limites_de_la_comunicacion_con_el_ilustrador,cat_propia_obra,belongs_to
ref_escritura_por_encargo_como_estimulo_creativo,cat_propia_obra,belongs_to
ref_dioses_y_heroes_de_la_mitologia_griega,cat_propia_obra,belongs_to
ref_publicidad_maternidad_y_entrada_en_la_literatura_infantil,cat_biograficas,belongs_to
ref_sus_hijas_como_primeras_destinatarias_de_relatos,cat_biograficas,belongs_to
ref_de_la_maquina_de_escribir_al_ordenador,cat_biograficas,belongs_to
ref_rutina_matutina_y_espacio_domestico_de_trabajo,cat_biograficas,belongs_to
ref_pensamiento_creativo_fuera_del_escritorio,cat_biograficas,belongs_to
ref_escritura_desde_la_escuela_primaria_y_primeros_poemas,cat_biograficas,belongs_to
ref_primeros_relatos_para_revistas_femeninas_a_los_diecinueve_anos,cat_biograficas,belongs_to
ref_biblioteca_familiar_y_descubrimiento_del_cuento_fantastico,cat_biograficas,belongs_to
