id,label,type,group,note,start_time,end_time,timecodes
shua,Ana María Shua,interviewee,Entrevistado,Nodo central de la constelación de Ana María Shua.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_entrada_de_la_literatura_infantil_en_la_escuela_en_los_anos_ochenta,Entrada de la literatura infantil en la escuela en los años ochenta,reference,Didácticas,"Shua sitúa su llegada a la LIJ en un momento de transformación escolar en Argentina y América Latina, cuando las obras literarias comenzaron a sustituir al tradicional libro de lectura.",00:06:51,00:07:48,00:06:51-00:07:48
ref_diferencias_entre_prelectores_y_lectores_de_doce_anos,Diferencias entre prelectores y lectores de doce años,reference,Didácticas,Subraya que no puede pensarse la infancia como un público homogéneo: las necesidades de un prelector y las de un lector de doce años son muy diferentes.,00:10:06,00:11:01,00:10:06-00:11:01
ref_respeto_por_el_lector_infantil,Respeto por el lector infantil,reference,Didácticas,Sitúa el respeto por quien recibe el texto como principio central de la escritura para niños.,00:11:01,00:11:22,00:11:01-00:11:22
ref_literatura_que_plantea_preguntas_y_no_respuestas,Literatura que plantea preguntas y no respuestas,reference,Didácticas,Rechaza la pretensión de educar o transformar moralmente a los niños desde la ficción y defiende que la buena literatura plantee preguntas y cuente buenas historias.,00:11:15,00:12:28,00:11:15-00:12:28
ref_conflicto_frente_a_literatura_infantil_deslavada,Conflicto frente a literatura infantil «deslavada»,reference,Didácticas,"Critica una tradición de LIJ que evitaba los conflictos graves y producía relatos excesivamente suaves, incapaces de competir con la intensidad de otras narrativas culturales.",00:12:28,00:14:43,00:12:28-00:14:43
ref_mercado_escolar_y_estereotipos_de_genero_en_la_seleccion_editorial,Mercado escolar y estereotipos de género en la selección editorial,reference,Didácticas,Explica que varias editoriales dudaron ante un libro protagonizado únicamente por mujeres porque suponían que los niños varones no querrían leerlo.,00:20:28,00:22:49,00:20:28-00:22:49
ref_lectura_sin_confrontacion_con_internet_television_series_y_videojuegos,"Lectura sin confrontación con Internet, televisión, series y videojuegos",reference,Didácticas,"Aconseja no presentar los libros como adversarios de los medios digitales y audiovisuales, porque los lectores pueden disfrutar simultáneamente de todos ellos.",00:25:36,00:27:00,00:25:36-00:27:00
ref_pasion_lectora_curiosidad_y_deseo_de_lo_prohibido,"Pasión lectora, curiosidad y deseo de lo prohibido",reference,Didácticas,Relaciona la pasión por la lectura con una forma de deseo y recuerda el atractivo que tenían en la infancia los libros que los adultos consideraban todavía inadecuados.,00:27:03,00:27:58,00:27:03-00:27:58
ref_adolescentes_como_lectores_capaces_de_literatura_adulta,Adolescentes como lectores capaces de literatura adulta,reference,Didácticas,Considera a los adolescentes lectores con un pensamiento plenamente desarrollado y rechaza ofrecerles literatura «premasticada»; propone compartir con ellos la misma literatura que interesa a los adultos.,00:27:58,00:29:05,00:27:58-00:29:05
ref_el_docente_comparte_las_lecturas_que_realmente_lo_conmueven,El docente comparte las lecturas que realmente lo conmueven,reference,Didácticas,"Propone que los profesores lleven al aula los textos que ellos mismos leen, disfrutan, los perturban o los entusiasman, transmitiendo una relación auténtica con la literatura.",00:28:57,00:30:02,00:28:57-00:30:02
ref_el_problema_de_la_lectura_tambien_esta_en_los_profesores,El problema de la lectura también está en los profesores,reference,Didácticas,Señala que es difícil contagiar pasión lectora si los propios docentes viven la literatura como una obligación moral para la que no encuentran tiempo.,00:29:39,00:30:47,00:29:39-00:30:47
ref_conversaciones_escolares_sobre_el_origen_de_las_ideas,Conversaciones escolares sobre el origen de las ideas,reference,Didácticas,Recuerda que los niños le preguntan en las escuelas de dónde salen las ideas y responde que nacen tanto de la experiencia como de las lecturas.,00:50:31,00:51:29,00:50:31-00:51:29
ref_todos_los_libros_salen_de_libros_lectura_como_formacion_de_la_escritura,«Todos los libros salen de libros»: lectura como formación de la escritura,reference,Didácticas,Formula la lectura como una de las fuentes fundamentales de la creación y destaca que todo lo leído termina filtrándose en la escritura.,00:50:43,00:51:29,00:50:43-00:51:29
ref_consejo_al_escritor_que_comienza_paciencia_y_sustento_profesional,Consejo al escritor que comienza: paciencia y sustento profesional,reference,Didácticas,"A partir de la recepción tardía de La sueñera, aconseja a quienes empiezan a escribir que asuman la larga paciencia del oficio y cuenten con otro trabajo mientras la literatura no permita vivir de ella.",01:14:22,01:15:31,01:14:22-01:15:31
ref_cuento_popular_y_tradicion_folclorica_universal,Cuento popular y tradición folclórica universal,reference,Culturales,Considera el cuento popular una fuente extraordinaria de ideas y una literatura capaz de atravesar tiempo y distancia; su propia obra se alimenta constantemente de esa tradición.,00:14:28,00:16:57,00:14:28-00:16:57; 00:49:27-00:51:29
ref_lady_ragnell_y_el_ciclo_arturico,Lady Ragnell y el ciclo artúrico,reference,Culturales,Elige la leyenda de Lady Ragnell como su relato favorito del volumen y destaca como sorprendentemente moderna su respuesta a la pregunta sobre qué quieren las mujeres.,00:23:55,00:25:35,00:23:55-00:25:35
