source,target,relation
soderguit,cat_didacticas,has_category
soderguit,cat_culturales,has_category
soderguit,cat_propia_obra,has_category
soderguit,cat_biograficas,has_category
ref_la_escuela_como_espacio_de_socializacion_y_ampliacion_del_mundo,cat_didacticas,belongs_to
ref_narrar_sin_proponerse_una_mediacion_educativa_directa,cat_didacticas,belongs_to
ref_historias_como_herramientas_para_observar_el_mundo,cat_didacticas,belongs_to
ref_aprendizaje_colaborativo_entre_creadores,cat_didacticas,belongs_to
ref_los_carpinchos_como_detonante_de_dialogo_sobre_hospitalidad_y_discriminacion,cat_didacticas,belongs_to
ref_mostrar_el_proceso_de_construccion_del_album,cat_didacticas,belongs_to
ref_mapas_y_storyboard_para_comprender_la_construccion_narrativa,cat_didacticas,belongs_to
ref_obras_de_soderguit_en_la_formacion_de_maestros,cat_didacticas,belongs_to
ref_lectura_con_finalidades_multiples_placer_mediacion_analisis_y_critica,cat_didacticas,belongs_to
ref_premio_de_ilustracion_y_formacion_profesional_del_libro_album_uruguayo,cat_didacticas,belongs_to
ref_magdalena_helguera_un_resfrio_como_hay_pocos,cat_culturales,belongs_to
ref_helen_velando_detectives_en_el_parque_rodo_y_los_cazaventura,cat_culturales,belongs_to
ref_sergio_lopez_suarez_anina_yatay_salas,cat_culturales,belongs_to
ref_federico_ivanier_la_increible_aventura_de_gonzalo_y_la_vaca_feroz,cat_culturales,belongs_to
ref_fabio_guerra_mira_vos,cat_culturales,belongs_to
ref_fernando_gonzalez_historias_de_magos_y_dragones,cat_culturales,belongs_to
ref_dipacho,cat_culturales,belongs_to
ref_sebastian_santana,cat_culturales,belongs_to
ref_ernest_hemingway,cat_culturales,belongs_to
ref_german_tejeira,cat_culturales,belongs_to
ref_ekare_y_didier_jeunesse,cat_culturales,belongs_to
ref_ecosistema_editorial_uruguayo_de_lij,cat_culturales,belongs_to
ref_anina,cat_propia_obra,belongs_to
ref_dos_pajaritos,cat_propia_obra,belongs_to
ref_soy_un_animal,cat_propia_obra,belongs_to
ref_los_carpinchos,cat_propia_obra,belongs_to
ref_la_cerca_origen_desigualdad_y_reproduccion_social,cat_propia_obra,belongs_to
ref_lenguaje_cinematografico_aplicado_al_album_ilustrado,cat_propia_obra,belongs_to
ref_estilo_visual_subordinado_al_lenguaje_de_cada_historia,cat_propia_obra,belongs_to
ref_grafismo_iconico_de_soy_un_animal,cat_propia_obra,belongs_to
ref_grafito_y_materialidad_en_los_carpinchos,cat_propia_obra,belongs_to
ref_perspectiva_isometrica_y_dibujo_tecnico_en_la_cerca,cat_propia_obra,belongs_to
ref_los_carpinchos_como_fabula_sobre_hospitalidad_y_discriminacion,cat_propia_obra,belongs_to
ref_origen_de_los_carpinchos_en_una_memoria_de_estigmatizacion_social,cat_propia_obra,belongs_to
ref_dibujo_exploratorio_y_figuras_hibridas_humano_carpincho,cat_propia_obra,belongs_to
ref_atmosfera_tension_y_gestualidad_en_la_imagen,cat_propia_obra,belongs_to
ref_portadas_imaginarias_y_mapas_como_preproduccion_narrativa,cat_propia_obra,belongs_to
ref_storyboard_punto_de_vista_y_finales_de_los_carpinchos,cat_propia_obra,belongs_to
ref_recepcion_internacional_y_traducciones_de_los_carpinchos,cat_propia_obra,belongs_to
ref_adaptacion_audiovisual_de_los_carpinchos,cat_propia_obra,belongs_to
ref_rocha_montevideo_y_trayectoria_inicial,cat_biograficas,belongs_to
ref_formacion_en_bellas_artes_cine_y_arquitectura,cat_biograficas,belongs_to
ref_facilidad_para_el_dibujo_y_reconocimiento_escolar,cat_biograficas,belongs_to
ref_infancia_entre_libros_ilustrados_y_copia_de_personajes,cat_biograficas,belongs_to
ref_viaje_por_europa_y_consejo_para_convertirse_en_ilustrador,cat_biograficas,belongs_to
ref_entrada_en_santillana_y_primeros_encargos,cat_biograficas,belongs_to
ref_paisaje_de_infancia_en_rocha,cat_biograficas,belongs_to
ref_barrio_de_su_abuela_y_recuerdo_del_mote_carpinchos,cat_biograficas,belongs_to
ref_mariale_ariceta_pareja_hija_y_viajes_compartidos,cat_biograficas,belongs_to
ref_palermo_estudio_y_colaboracion_con_alejo_schettini,cat_biograficas,belongs_to
