id,label,type,group,note,start_time,end_time,timecodes
soderguit,Alfredo Soderguit,interviewee,Entrevistado,Nodo central de la constelación de Alfredo Soderguit.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_la_escuela_como_espacio_de_socializacion_y_ampliacion_del_mundo,La escuela como espacio de socialización y ampliación del mundo,reference,Didácticas,Soderguit vincula la presencia de la escuela en su imaginario con su propia infancia y la describe como un espacio fundamental de socialización y ampliación del mundo.,00:10:55,00:11:44,00:10:55-00:11:44
ref_narrar_sin_proponerse_una_mediacion_educativa_directa,Narrar sin proponerse una mediación educativa directa,reference,Didácticas,Aclara que no se identifica prioritariamente como mediador educativo: su objetivo es contar historias y compartir puntos de vista antes que enseñar de forma explícita.,00:11:44,00:12:21,00:11:44-00:12:21
ref_historias_como_herramientas_para_observar_el_mundo,Historias como herramientas para observar el mundo,reference,Didácticas,Concibe las historias como un modo de poner sobre la mesa herramientas que permiten tanto al lector como al creador analizar y observar el mundo que los rodea.,00:12:02,00:12:21,00:12:02-00:12:21
ref_aprendizaje_colaborativo_entre_creadores,Aprendizaje colaborativo entre creadores,reference,Didácticas,"Explica que aprende de escritores, ilustradores y colegas mediante procesos compartidos, intercambio de proyectos y revisión mutua del trabajo.",00:12:52,00:14:41,00:12:52-00:14:41; 01:01:33-01:02:03
ref_los_carpinchos_como_detonante_de_dialogo_sobre_hospitalidad_y_discriminacion,Los carpinchos como detonante de diálogo sobre hospitalidad y discriminación,reference,Didácticas,"Señala que el libro ha generado conversaciones en distintos países sobre hospitalidad, discriminación, refugio y convivencia, mostrando su potencial como mediador de debate.",00:25:59,00:26:47,00:25:59-00:26:47
ref_mostrar_el_proceso_de_construccion_del_album,Mostrar el proceso de construcción del álbum,reference,Didácticas,Presenta materiales de trabajo de Los carpinchos para explicar las etapas de construcción del libro y los aspectos que considera relevantes analizar en un álbum.,00:27:47,00:28:09,00:27:47-00:28:09
ref_mapas_y_storyboard_para_comprender_la_construccion_narrativa,Mapas y storyboard para comprender la construcción narrativa,reference,Didácticas,"Explica cómo utiliza mapas y storyboard para organizar espacio, movimientos, secuencias y relaciones entre personajes, haciendo visible la arquitectura de la narración.",00:36:19,00:37:35,00:36:19-00:37:35
ref_obras_de_soderguit_en_la_formacion_de_maestros,Obras de Soderguit en la formación de maestros,reference,Didácticas,La entrevista explicita que sus obras forman parte de las lecturas obligatorias de alumnado del Grado de Maestro de Educación Primaria y se vinculan con su evaluación.,00:01:06,00:01:46,00:01:06-00:01:46; 01:02:41-01:03:09
ref_lectura_con_finalidades_multiples_placer_mediacion_analisis_y_critica,"Lectura con finalidades múltiples: placer, mediación, análisis y crítica",reference,Didácticas,"Soderguit afirma que sus libros pueden servir para divertirse, entretenerse, leer a los niños, dormir, analizar y criticar, defendiendo una pluralidad de usos lectores.",01:03:09,01:03:23,01:03:09-01:03:23
ref_premio_de_ilustracion_y_formacion_profesional_del_libro_album_uruguayo,Premio de Ilustración y formación profesional del libro-álbum uruguayo,reference,Didácticas,"Valora el Premio de Ilustración de Uruguay y el programa asociado de talleres, circulación internacional y agencia como un dispositivo formativo que impulsó a nuevos autores de libro-álbum.",00:57:33,00:59:03,00:57:33-00:59:03
ref_magdalena_helguera_un_resfrio_como_hay_pocos,Magdalena Helguera — Un resfrío como hay pocos,reference,Culturales,Recuerda este manuscrito como uno de los dos primeros encargos profesionales que recibió al comenzar a trabajar para Santillana.,00:08:53,00:09:09,00:08:53-00:09:09
ref_helen_velando_detectives_en_el_parque_rodo_y_los_cazaventura,Helen Velando — Detectives en el parque Rodó y Los Cazaventura,reference,Culturales,Sitúa a Helen Velando entre las autoras con las que comenzó a trabajar y destaca el carácter visual y narrativo de sus textos.,00:08:53,00:09:09,00:08:53-00:09:09; 00:13:38-00:14:00
ref_sergio_lopez_suarez_anina_yatay_salas,Sergio López Suárez — Anina Yatay Salas,reference,Culturales,Identifica Anina Yatay Salas como uno de los textos con los que más se identificó y destaca la mirada reflexiva y humanista de Sergio López Suárez.,00:09:30,00:09:53,00:09:30-00:09:53; 00:13:38-00:14:00
