source,target,relation
valenzuela,cat_didacticas,has_category
valenzuela,cat_culturales,has_category
valenzuela,cat_propia_obra,has_category
valenzuela,cat_biograficas,has_category
ref_uso_didactico_de_vision_de_reojo_y_la_cosa,cat_didacticas,belongs_to
ref_lectura_intensiva_como_formacion_del_escritor,cat_didacticas,belongs_to
ref_francisca_noguerol_y_el_reconocimiento_del_microrrelato,cat_didacticas,belongs_to
ref_ambrosio_vecino_como_maestro_de_escritura,cat_didacticas,belongs_to
ref_el_microrrelato_como_maquinita_de_pensar,cat_didacticas,belongs_to
ref_jose_marti,cat_culturales,belongs_to
ref_margo_glantz,cat_culturales,belongs_to
ref_virginia_woolf,cat_culturales,belongs_to
ref_clarice_lispector,cat_culturales,belongs_to
ref_maria_luisa_bombal,cat_culturales,belongs_to
ref_mariana_enriquez,cat_culturales,belongs_to
ref_selva_almada,cat_culturales,belongs_to
ref_marina_garces,cat_culturales,belongs_to
ref_julio_cortazar,cat_culturales,belongs_to
ref_carlos_fuentes,cat_culturales,belongs_to
ref_friedrich_nietzsche,cat_culturales,belongs_to
ref_luis_bunuel,cat_culturales,belongs_to
ref_pierre_alechinsky,cat_culturales,belongs_to
ref_sor_juana_ines_de_la_cruz,cat_culturales,belongs_to
ref_augusto_monterroso_el_dinosaurio,cat_culturales,belongs_to
ref_aqui_pasan_cosas_raras,cat_propia_obra,belongs_to
ref_vision_de_reojo,cat_propia_obra,belongs_to
ref_libro_que_no_muerde,cat_propia_obra,belongs_to
ref_la_cosa,cat_propia_obra,belongs_to
ref_abc_de_las_microfabulas,cat_propia_obra,belongs_to
ref_cortazar_fuentes_entrecruzamientos,cat_propia_obra,belongs_to
ref_fin_de_milenio,cat_propia_obra,belongs_to
ref_de_donde_vienen_las_historias,cat_propia_obra,belongs_to
ref_cola_de_lagartija,cat_propia_obra,belongs_to
ref_la_mascara_sarda,cat_propia_obra,belongs_to
ref_la_travesia,cat_propia_obra,belongs_to
ref_cambio_de_armas,cat_propia_obra,belongs_to
ref_el_gato_eficaz,cat_propia_obra,belongs_to
ref_fiscal_muere,cat_propia_obra,belongs_to
ref_novela_negra_con_argentinos,cat_propia_obra,belongs_to
ref_la_mirada_horizontal,cat_propia_obra,belongs_to
ref_hay_que_sonreir,cat_propia_obra,belongs_to
ref_como_en_la_guerra,cat_propia_obra,belongs_to
ref_luisa_mercedes_levinson,cat_biograficas,belongs_to
ref_infancia_entre_escritores,cat_biograficas,belongs_to
ref_vocacion_periodistica,cat_biograficas,belongs_to
ref_regreso_a_argentina_tras_barcelona_francia_y_mexico,cat_biograficas,belongs_to
ref_annalisa_y_el_juego_de_escritura_domestico,cat_biograficas,belongs_to
ref_partida_a_estados_unidos_y_residencia_en_columbia_university,cat_biograficas,belongs_to
ref_residencia_en_nueva_york,cat_biograficas,belongs_to
ref_ultima_tarde_con_julio_cortazar_en_nueva_york_1983,cat_biograficas,belongs_to
ref_milongas_portenas_con_carlos_fuentes_y_silvia_lemus,cat_biograficas,belongs_to
ref_dictadura_militar_argentina_1976_1983,cat_biograficas,belongs_to
ref_columnas_politicas_en_pagina_12,cat_biograficas,belongs_to
ref_trabajo_periodistico_en_la_nacion,cat_biograficas,belongs_to
