id,label,type,group,note,start_time,end_time,timecodes
valenzuela,Luisa Valenzuela,interviewee,Entrevistado,Nodo central de la constelación de Luisa Valenzuela.,,,
cat_didacticas,Didácticas,category,Didácticas,,,,
cat_culturales,Culturales,category,Culturales,,,,
cat_propia_obra,Propia obra,category,Propia obra,,,,
cat_biograficas,Biográficas,category,Biográficas,,,,
ref_uso_didactico_de_vision_de_reojo_y_la_cosa,Uso didáctico de «Visión de reojo» y «La cosa»,reference,Didácticas,"Carmen Alemany explica que utiliza estos dos microrrelatos de Valenzuela en sus clases de máster para trabajar el lenguaje, la ambigüedad y los mecanismos de lectura.",00:08:20,00:09:21,00:08:20-00:09:21; 00:11:07-00:11:29
ref_lectura_intensiva_como_formacion_del_escritor,Lectura intensiva como formación del escritor,reference,Didácticas,"Valenzuela afirma que leyó muchísimo de joven y considera que esa práctica lectora contribuye a la formación de un escritor, aunque evita leer ficción cuando está inmersa en una novela.",00:18:41,00:20:15,00:18:41-00:20:15
ref_francisca_noguerol_y_el_reconocimiento_del_microrrelato,Francisca Noguerol y el reconocimiento del microrrelato,reference,Didácticas,La especialista Francisca Noguerol ayudó a Valenzuela a reconocer como microrrelatos algunos textos que ella concebía inicialmente como cuentos breves.,00:06:06,00:06:28,00:06:06-00:06:28; 00:14:54-00:15:06
ref_ambrosio_vecino_como_maestro_de_escritura,Ambrosio Vecino como maestro de escritura,reference,Didácticas,"Valenzuela presenta a Ambrosio Vecino, su jefe en prensa, como un maestro que le enseñó rigor lingüístico, concisión y disciplina de escritura.",01:05:55,01:06:52,01:05:55-01:06:52
ref_el_microrrelato_como_maquinita_de_pensar,El microrrelato como «maquinita de pensar»,reference,Didácticas,Valenzuela define el microrrelato como una forma breve que permanece en la mente del lector y desencadena interpretaciones y desarrollos posteriores.,01:07:35,01:08:53,01:07:35-01:08:53
ref_jose_marti,José Martí,reference,Culturales,Valenzuela cita a José Martí para expresar su concepción del lenguaje como fuerza que conduce el pensamiento y orienta la escritura.,00:13:27,00:13:49,00:13:27-00:13:49
ref_margo_glantz,Margo Glantz,reference,Culturales,"Valenzuela destaca a Margo Glantz como escritora cercana, interlocutora y amiga, y subraya la calidad de su trabajo sobre el cuerpo y el erotismo.",00:21:58,00:23:05,00:21:58-00:23:05; 00:46:36-00:47:36
ref_virginia_woolf,Virginia Woolf,reference,Culturales,Valenzuela incluye a Virginia Woolf entre las escritoras que ha leído y que forman parte de su genealogía literaria.,00:21:58,00:22:17,00:21:58-00:22:17
ref_clarice_lispector,Clarice Lispector,reference,Culturales,Valenzuela menciona a Clarice Lispector entre las autoras decisivas y la considera una maestra por haber encontrado un lenguaje propio.,00:21:58,00:23:05,00:21:58-00:23:05
ref_maria_luisa_bombal,María Luisa Bombal,reference,Culturales,"Valenzuela sitúa a María Luisa Bombal entre las escritoras que, a su juicio, debieron formar parte del boom latinoamericano.",00:22:10,00:23:05,00:22:10-00:23:05
ref_mariana_enriquez,Mariana Enríquez,reference,Culturales,Valenzuela menciona a Mariana Enríquez entre las escritoras argentinas contemporáneas que considera muy interesantes.,00:23:09,00:23:46,00:23:09-00:23:46
ref_selva_almada,Selva Almada,reference,Culturales,Valenzuela incluye a Selva Almada entre las escritoras argentinas actuales que valora positivamente.,00:23:09,00:23:46,00:23:09-00:23:46
ref_marina_garces,Marina Garcés,reference,Culturales,Valenzuela elogia a la filósofa Marina Garcés y la define como una mente especialmente lúcida.,00:23:22,00:24:03,00:23:22-00:24:03
ref_julio_cortazar,Julio Cortázar,reference,Culturales,"Cortázar ocupa un lugar central en la conversación: Valenzuela analiza su obra, sus vínculos con Carlos Fuentes y recuerdos personales que alimentaron su ensayo comparativo.",00:24:32,00:27:17,00:24:32-00:27:17; 00:29:04-00:30:48; 00:31:15-00:32:11
ref_carlos_fuentes,Carlos Fuentes,reference,Culturales,"Valenzuela comenta extensamente la obra y personalidad de Carlos Fuentes, sus relaciones con Cortázar y diversos cruces literarios, artísticos y biográficos.",00:24:32,00:27:17,00:24:32-00:27:17; 00:27:18-00:28:51; 00:33:43-00:34:37
ref_friedrich_nietzsche,Friedrich Nietzsche,reference,Culturales,Valenzuela relaciona una obra póstuma de Carlos Fuentes con Nietzsche y con la cuestión de los rituales tras la idea de la muerte de Dios.,00:27:28,00:28:51,00:27:28-00:28:51
ref_luis_bunuel,Luis Buñuel,reference,Culturales,Valenzuela explica que Cortázar y Fuentes compartían una fuerte relación con la obra de Buñuel y recuerda un proyecto cinematográfico que pretendía reunir textos de ambos.,00:34:03,00:34:37,00:34:03-00:34:37
ref_pierre_alechinsky,Pierre Alechinsky,reference,Culturales,"Valenzuela reconstruye conexiones entre Cortázar, Fuentes y Pierre Alechinsky, incluida una reunión en la que distintos escritores propusieron títulos para cuadros del pintor.",00:34:38,00:35:40,00:34:38-00:35:40
ref_sor_juana_ines_de_la_cruz,Sor Juana Inés de la Cruz,reference,Culturales,"Valenzuela recuerda una presentación literaria en el antiguo convento de Sor Juana, vinculada con «Primero sueño», la poesía erótica y una puesta en escena performativa.",00:47:45,00:51:45,00:47:45-00:51:45
ref_augusto_monterroso_el_dinosaurio,Augusto Monterroso — «El dinosaurio»,reference,Culturales,Valenzuela presenta «El dinosaurio» de Augusto Monterroso como un microrrelato emblemático capaz de generar innumerables interpretaciones y reescrituras.,01:07:35,01:08:53,01:07:35-01:08:53
ref_aqui_pasan_cosas_raras,Aquí pasan cosas raras,reference,Propia obra,"Valenzuela explica que escribió «Aquí pasan cosas raras» al regresar a una Argentina marcada por la violencia política, como forma de comprender mediante la escritura lo que estaba ocurriendo.",00:13:57,00:15:06,00:13:57-00:15:06; 01:08:58-01:09:09
