source,target,relation
wolf,cat_didacticas,has_category
wolf,cat_culturales,has_category
wolf,cat_propia_obra,has_category
wolf,cat_biograficas,has_category
ref_escribo_para_chicos_y_no_para_alumnos_rechazo_del_didactismo,cat_didacticas,belongs_to
ref_los_libros_ensenan_sin_que_el_escritor_sea_maestro,cat_didacticas,belongs_to
ref_visitas_a_escuelas_y_usos_pedagogicos_de_sus_libros,cat_didacticas,belongs_to
ref_docente_como_mediador_de_lectura,cat_didacticas,belongs_to
ref_mostrar_los_piolines_hacer_visible_la_construccion_del_relato,cat_didacticas,belongs_to
ref_conversacion_literaria_y_pluralidad_de_interpretaciones,cat_didacticas,belongs_to
ref_dramatizacion_como_transposicion_de_genero,cat_didacticas,belongs_to
ref_cambiar_finales_respetando_la_coherencia_narrativa,cat_didacticas,belongs_to
ref_competencia_lectora_antes_que_edad_cronologica,cat_didacticas,belongs_to
ref_escribir_desde_una_idea_problematica_y_un_conflicto_no_desde_un_tema,cat_didacticas,belongs_to
ref_rechazo_del_lector_modelo_y_defensa_de_lectores_libres,cat_didacticas,belongs_to
ref_correccion_politica_lectura_critica_frente_a_censura,cat_didacticas,belongs_to
ref_consejo_a_quien_empieza_a_escribir_leer_mucho,cat_didacticas,belongs_to
ref_literatura_para_ninos_y_no_un_genero_infantil_especifico,cat_didacticas,belongs_to
ref_riqueza_lexica_y_comprension_por_contexto,cat_didacticas,belongs_to
ref_guerras_y_horrores_en_la_lij_escribir_desde_una_necesidad_autentica,cat_didacticas,belongs_to
ref_hermanos_grimm_y_hans_christian_andersen,cat_culturales,belongs_to
ref_emilio_salgari_y_la_saga_de_sandokan,cat_culturales,belongs_to
ref_bret_harte_robert_louis_stevenson_y_jack_london,cat_culturales,belongs_to
ref_sherezade_y_las_mil_y_una_noches,cat_culturales,belongs_to
ref_mito_fabula_leyenda_y_cuento_popular,cat_culturales,belongs_to
ref_graciela_montes,cat_culturales,belongs_to
ref_gianni_rodari,cat_culturales,belongs_to
ref_german_arciniegas,cat_culturales,belongs_to
ref_francisco_de_quevedo_historia_de_la_vida_del_buscon,cat_culturales,belongs_to
ref_maria_elena_walsh,cat_culturales,belongs_to
ref_jules_verne,cat_culturales,belongs_to
ref_herman_melville_moby_dick,cat_culturales,belongs_to
ref_roald_dahl_matilda,cat_culturales,belongs_to
ref_horacio_quiroga,cat_culturales,belongs_to
ref_alexandre_dumas,cat_culturales,belongs_to
ref_barbanegra_y_los_bunuelos,cat_propia_obra,belongs_to
ref_la_sonada_aventura_de_ben_malasangue,cat_propia_obra,belongs_to
ref_historias_a_fernandez,cat_propia_obra,belongs_to
ref_el_turno_del_escriba,cat_propia_obra,belongs_to
ref_que_animales,cat_propia_obra,belongs_to
ref_la_galleta_marinera,cat_propia_obra,belongs_to
ref_pollos_de_campo,cat_propia_obra,belongs_to
ref_libro_de_los_prodigios,cat_propia_obra,belongs_to
ref_maruja,cat_propia_obra,belongs_to
ref_el_naufrago_de_coco_hueco,cat_propia_obra,belongs_to
ref_humor_ironia_y_absurdo_como_poetica,cat_propia_obra,belongs_to
ref_viajes_mar_y_barcos_como_motivos_recurrentes,cat_propia_obra,belongs_to
ref_carapachay_buenos_aires_y_formacion_universitaria,cat_biograficas,belongs_to
ref_familia_de_origen_espanol_e_italiano,cat_biograficas,belongs_to
ref_infancia_lectora_y_apertura_hacia_mundos_lejanos,cat_biograficas,belongs_to
ref_entrada_casual_en_la_literatura_para_ninos_y_hallazgo_de_una_voz_propia,cat_biograficas,belongs_to
ref_periodismo_e_investigacion_sobre_folletin_y_cultura_popular,cat_biograficas,belongs_to
ref_carlos_trillo,cat_biograficas,belongs_to
ref_aficion_por_los_barcos_y_navegacion_en_el_rio_de_la_plata,cat_biograficas,belongs_to
